Date,Open,High,Low,Close
06/14/2024,135.55,139.62,134.95,139.55
06/17/2024,139.9,143,136.4,138.65
06/18/2024,139.25,141.6,139.25,141.1
06/19/2024,141.3,142.2,139.95,141.25
06/20/2024,141.55,144.2,140.4,142.55
06/21/2024,142.25,143.45,140.2,141.6
06/24/2024,142.05,145.35,142.05,145.05
06/25/2024,145,145.95,138.8,139.95
06/26/2024,139.85,140.65,138.15,139.15
06/27/2024,139.95,141.65,138.3,140.2
06/28/2024,140.8,141.85,139.6,140.35
07/01/2024,141.3,143.3,140.75,141.3
07/02/2024,139.8,142.15,136.1,137.15
07/03/2024,137.85,139.6,136.85,138.05
07/04/2024,138.1,139.3,137.2,138.65
07/05/2024,139.45,140.5,137.8,139.5
07/08/2024,139.25,140.55,137.8,138.05
07/09/2024,138.15,140.45,137.55,140.45
07/10/2024,141,142.7,139.6,139.85
07/11/2024,140.2,141.65,139,140.7
07/12/2024,141.3,141.9,139.8,141.2
07/15/2024,140.45,142.05,138.6,138.8
07/16/2024,138.75,139.61,136.9,137.65
07/17/2024,137.8,141.65,137.45,140.9
07/18/2024,140.9,142.44,140.05,141.05
07/19/2024,140.35,141.95,139.6,141.85
07/22/2024,142,142.85,140.25,141.35
07/23/2024,140.8,141.3,138.95,139.95
07/24/2024,138.35,139.96,137.2,139.75
07/25/2024,139.8,151.2,133.6,140.3
07/26/2024,139.8,141,138.03,140.5
07/29/2024,142,142.9,140.91,141.85
07/30/2024,142.4,143.5,140.9,141.25
07/31/2024,141.55,142.25,140.21,140.85
08/01/2024,141.5,141.75,125.81,138.6
08/02/2024,138.05,140.9,136.85,138.2
08/05/2024,137.15,137.15,132.23,133.65
08/06/2024,135.4,136.7,133.35,134.2
08/07/2024,135.45,136.65,134.05,135.9
08/08/2024,129.75,151.2,126.9,130.45
08/09/2024,130.75,132.2,130.22,130.5
08/12/2024,139,150,138,141.5
08/13/2024,141.45,142.65,140.3,141.6
08/14/2024,143,146.65,142.5,146.65
08/15/2024,146.95,147.07,125.81,145.75
08/16/2024,145.15,145.45,144.25,145.4
08/19/2024,144.8,146.65,144.4,145.6
08/20/2024,144.1,144.35,133.63,136.3
08/21/2024,136,136.4,133.8,134.8
08/22/2024,134.55,151.2,134.25,135.2
08/23/2024,135.25,137,134.5,135.85
08/27/2024,136.45,138.5,136.15,137.2
08/28/2024,137.35,138.33,136.95,137.85
08/29/2024,138.6,138.9,136.83,138.15
08/30/2024,138.3,139.57,138.2,139
09/02/2024,139.6,140.35,139.05,139.7
09/03/2024,139.55,142.8,139.25,140.45
09/04/2024,139.15,141.6,139.15,141
09/05/2024,140.55,144.3,140.25,143.2
09/06/2024,143.1,144.4,142.85,143.3
09/09/2024,144.15,144.6,142.48,142.95
09/10/2024,141.7,142.9,139.75,140.05
09/11/2024,141.25,143.06,140.61,142.65
09/12/2024,143.8,145.25,142.35,145.25
09/13/2024,145.5,148.2,144.77,147.15
09/16/2024,146.5,147.65,145.55,147.5
09/17/2024,148.45,149.35,147.25,147.7
09/18/2024,147.6,148.8,147.1,148.1
09/19/2024,148.95,149.5,145.28,146.55
09/20/2024,145.35,146.85,143.7,146.05
09/23/2024,146.05,148.61,145.91,148.1
09/24/2024,149.15,149.85,147.85,149.55
09/25/2024,149,151.95,148.55,150.4
09/26/2024,151.9,152.2,148.7,149.3
09/27/2024,149.5,151.48,149.25,150.55
09/30/2024,149.75,150.6,147.64,147.9
10/01/2024,147.9,148,144.5,144.75
10/02/2024,144.6,145.35,143.1,143.4
10/03/2024,144.3,144.7,141.75,142.5
10/04/2024,142.45,145.04,142.25,144.5
10/07/2024,145.35,147.05,144.1,146.15
10/08/2024,145.75,146.25,144.75,145.05
10/09/2024,145,146.85,144.75,145.8
10/10/2024,145.45,146.95,145.05,145.65
10/11/2024,145.45,145.6,143.2,144.1
10/14/2024,143.3,145.6,143.3,144.7
10/15/2024,146.2,146.83,144.35,145.55
10/16/2024,146.35,147.08,145.4,146.15
10/17/2024,146.35,148.21,145.6,148.2
10/18/2024,147.8,148.1,145.9,146.25
10/21/2024,146,146.85,145.4,145.95
10/22/2024,145.3,145.71,142.53,144.2
10/23/2024,143.95,144.25,142.35,142.9
10/24/2024,143.7,145.3,143.5,144.5
10/25/2024,144.95,145.25,143.65,144.4
10/28/2024,144.95,145.55,140.4,142.8
10/29/2024,143.45,143.55,138.92,139.4
10/30/2024,138.65,141.9,138.3,139.75
10/31/2024,138.5,139.3,137.2,138.25
11/01/2024,137.95,141.2,137.85,140.25
11/04/2024,140.25,143.85,139.9,142.15
11/05/2024,142.25,147.4,142.2,147.4
11/06/2024,148.55,148.68,141.02,142.1
11/07/2024,139,139.95,130.95,137
11/08/2024,136.2,140.35,136,140
11/11/2024,141.25,142,140.15,140.45
11/12/2024,139.5,140.4,137.75,137.85
11/13/2024,137.75,138.5,136,136.7
11/14/2024,137.05,140.25,136.65,140
11/15/2024,139.25,142.65,139.25,142
11/18/2024,141.75,144.75,141.75,144.75
11/19/2024,145,149.8,144.95,149.8
11/20/2024,150,150.8,148.45,149.85
11/21/2024,149.95,150.65,147.07,147.7
11/22/2024,148.35,152,148.35,151.25
11/25/2024,151.55,156.4,151.14,154.95
11/26/2024,155,157.1,154.74,156.15
11/27/2024,156.75,159.8,156.3,158.5
11/28/2024,158.45,159.57,158.1,159.25
11/29/2024,158.95,159.83,157.65,159.3
12/02/2024,159.8,161.95,159.55,160.9
12/03/2024,159.65,161.9,155.6,156.7
12/04/2024,157,158,155.25,155.4
12/05/2024,156.3,159.65,155.3,158.8
12/06/2024,158.6,159.3,156.8,157.45
12/09/2024,157.65,158.45,155.55,155.55
12/10/2024,152.75,154.5,149.1,154.05
12/11/2024,153.4,154,151.52,152
12/12/2024,152.35,153.45,150.9,151.2
12/13/2024,151,152.8,151,151.25
12/16/2024,151.25,152.3,149.65,149.65
12/17/2024,148,148.6,145.3,147.4
12/18/2024,147.85,148.15,146.25,147.15
12/19/2024,146.15,149.8,145.5,146.4
12/20/2024,145.6,146.32,143.15,145
12/23/2024,145.3,145.35,143.75,144.8
12/24/2024,143.5,145.2,143.05,144
12/27/2024,143.8,144.65,142.75,144.3
12/30/2024,143.9,144.2,142.75,143.35
12/31/2024,142.95,144.6,142.7,144.05
